,base_market,quote_market,hedge_ratio,half_life
0,XTZ-USD,ENJ-USD,2.532391418521396,14.0
1,XTZ-USD,SUSHI-USD,0.9034238029887776,15.0
2,ICP-USD,ZEC-USD,0.13995163772240427,7.0
3,ICP-USD,CELO-USD,8.047195487971502,11.0
4,ICP-USD,ENJ-USD,12.986973130084976,18.0
5,ICP-USD,RUNE-USD,3.787834495348224,20.0
6,ICP-USD,COMP-USD,0.12118452201354515,21.0
7,ICP-USD,NEAR-USD,2.672978061837474,7.0
8,ICP-USD,ALGO-USD,24.59121913689801,12.0
9,ICP-USD,SUSHI-USD,4.636493785107136,19.0
10,ICP-USD,ADA-USD,16.913432967202915,22.0
11,ICP-USD,BTC-USD,0.0002616901813905896,13.0
12,ICP-USD,DOT-USD,0.9345807150341653,11.0
13,ICP-USD,SOL-USD,0.2701056602053147,19.0
14,ICP-USD,MATIC-USD,4.87028111274036,2.0
15,ICP-USD,1INCH-USD,10.670627003486764,14.0
16,ICP-USD,AVAX-USD,0.3393988064148262,4.0
17,ETC-USD,BCH-USD,0.1583943333108251,4.0
18,ETC-USD,COMP-USD,0.41644123321850696,14.0
19,ETC-USD,UMA-USD,9.592112199586255,5.0
20,ETC-USD,SOL-USD,0.9282217156323432,20.0
21,ETC-USD,AAVE-USD,0.2598864304654173,11.0
22,ZEC-USD,COMP-USD,0.8657998465142436,16.0
23,ZEC-USD,NEAR-USD,19.09528654849,7.0
24,ZEC-USD,ALGO-USD,175.70556348667333,13.0
25,ZEC-USD,SUSHI-USD,33.12840008254817,17.0
26,ZEC-USD,MATIC-USD,34.78706557140397,2.0
27,ZEC-USD,1INCH-USD,76.25873366408146,17.0
28,ZEC-USD,AVAX-USD,2.424468890778787,4.0
29,LINK-USD,ENJ-USD,15.58739662617281,20.0
30,LINK-USD,SUSHI-USD,5.563821081369183,12.0
31,ATOM-USD,BCH-USD,0.09403668669353155,13.0
32,ATOM-USD,CELO-USD,16.3816381684288,20.0
33,ATOM-USD,ENJ-USD,26.501405127465162,14.0
34,ATOM-USD,RUNE-USD,7.726451875216415,15.0
35,ATOM-USD,FIL-USD,1.8197464531483343,10.0
36,ATOM-USD,ZRX-USD,47.85648121116137,12.0
37,ATOM-USD,TRX-USD,181.7002321481692,12.0
38,ATOM-USD,YFI-USD,0.001313219831209717,21.0
39,ATOM-USD,COMP-USD,0.24703086381256345,16.0
40,ATOM-USD,XLM-USD,142.65757140342743,12.0
41,ATOM-USD,EOS-USD,10.493192686312481,18.0
42,ATOM-USD,NEAR-USD,5.440823099311409,20.0
43,ATOM-USD,ALGO-USD,50.13598757132071,16.0
44,ATOM-USD,XMR-USD,0.08197934304191407,15.0
45,ATOM-USD,SUSHI-USD,9.454471864007107,15.0
46,ATOM-USD,ADA-USD,34.50123581539268,15.0
47,ATOM-USD,UMA-USD,5.703431753540048,7.0
48,ATOM-USD,BTC-USD,0.0005347330954404085,7.0
49,ATOM-USD,DOT-USD,1.9042893012517648,18.0
50,ATOM-USD,CRV-USD,12.165152477016992,20.0
51,ATOM-USD,SOL-USD,0.5505021327186945,17.0
52,ATOM-USD,DOGE-USD,155.90952739831556,10.0
53,ATOM-USD,LTC-USD,0.13488771743836983,11.0
54,ATOM-USD,AAVE-USD,0.1542337198391986,15.0
55,ATOM-USD,UNI-USD,1.884446587442995,15.0
56,ATOM-USD,MATIC-USD,9.915199882686341,9.0
